Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage origin Port,Leg Start Port/anch,In Transit Port Calls,FIELD9,Timestamp
KRESNA 315,DEPARTURE,Port,SEMARANG,1639399920,,,Not in Transit,Other,13/12/2021 19.52
LAWIT,DEPARTURE,Port,SEMARANG,1639380600,,,Not in Transit,Passenger,13/12/2021 14.30
TRIAKSA 15,ARRIVAL,Port,SEMARANG,1639380360,BENOA,BENOA ANCH,Not in Transit,Tanker,13/12/2021 14.26
PRATIWI SATU,ARRIVAL,Port,SEMARANG,1639371960,JAKARTA,SEMARANG ANCH,Not in Transit,Cargo,13/12/2021 12.06
MSC GIANNA,ARRIVAL,Port,SEMARANG,1639367400,TANJUNG PELEPAS,TANJUNG PELEPAS,Not in Transit,Cargo,13/12/2021 10.50
UNI PACIFIC,DEPARTURE,Port,SEMARANG,1639365180,,,Not in Transit,Cargo,13/12/2021 10.13
COSMIC 15,ARRIVAL,Port,SEMARANG,1639361820,SURABAYA,SURABAYA,Not in Transit,Tanker,13/12/2021 09.17
EDRICKO 3,DEPARTURE,Port,SEMARANG,1639354620,,,Not in Transit,Tanker,13/12/2021 07.17
MERATUS MANADO,DEPARTURE,Port,SEMARANG,1639345080,,,Not in Transit,Cargo,13/12/2021 04.38
KLM CAHAYA GLORIA,DEPARTURE,Port,SEMARANG,1639345080,,,In Transit,Unspecified,13/12/2021 04.38
JULIANTO MOELIODIHARDJO,ARRIVAL,Port,SEMARANG,1639339080,PALEMBANG,PALEMBANG,Not in Transit,Cargo,13/12/2021 02.58
KLM CAHAYA GLORIA,ARRIVAL,Port,SEMARANG,1639334940,,,In Transit,Unspecified,13/12/2021 01.49
UNI PACIFIC,ARRIVAL,Port,SEMARANG,1639332780,SURABAYA,SURABAYA,Not in Transit,Cargo,13/12/2021 01.13
P 211,ARRIVAL,Port,SEMARANG,1639332780,SURABAYA,SURABAYA,Not in Transit,Other,13/12/2021 01.13
KM MEGAH PERTIWI,ARRIVAL,Port,SEMARANG,1639324560,SURABAYA,SEMARANG ANCH,Not in Transit,Cargo,12/12/2021 22.56
BIMA 306,ARRIVAL,Port,SEMARANG,1639323360,SEMARANG,SEMARANG,Not in Transit,Tug,12/12/2021 22.36
TRANSKO DARA 3203,ARRIVAL,Port,SEMARANG,1639321740,JAKARTA,SEMARANG ANCH,Not in Transit,Tug,12/12/2021 22.09
GREEN STARS,ARRIVAL,Port,SEMARANG,1639321620,TANJUNG UBAN,SEMARANG ANCH,Not in Transit,Tanker,12/12/2021 22.07
TRANSKO DARA 3203,DEPARTURE,Port,SEMARANG,1639319820,,,Not in Transit,Tug,12/12/2021 21.37
LOMBA MAS,DEPARTURE,Port,SEMARANG,1639319820,,,Not in Transit,Tanker,12/12/2021 21.37
BIMA 306,DEPARTURE,Port,SEMARANG,1639319640,,,Not in Transit,Tug,12/12/2021 21.34
LAWIT,ARRIVAL,Port,SEMARANG,1639313100,SEMARANG,SEMARANG,Not in Transit,Passenger,12/12/2021 19.45
PACIFIC TEN,DEPARTURE,Port,SEMARANG,1639304700,,,Not in Transit,Tug,12/12/2021 17.25
MERATUS MANADO,ARRIVAL,Port,SEMARANG,1639303080,MAKASSAR,SEMARANG ANCH,Not in Transit,Cargo,12/12/2021 16.58
SEASPAN LUMACO,DEPARTURE,Port,SEMARANG,1639302120,,,Not in Transit,Cargo,12/12/2021 16.42
SPIRIT OF MUMBAI,ARRIVAL,Port,SEMARANG,1639297020,SINGAPORE,SEMARANG ANCH,Not in Transit,Cargo,12/12/2021 15.17
GAS ATTAKA,ARRIVAL,Port,SEMARANG,1639292520,KALBUT,SEMARANG ANCH,Not in Transit,Tanker,12/12/2021 14.02
DHARMA FERRY 2,DEPARTURE,Port,SEMARANG,1639291980,,,Not in Transit,Ro-Ro/Passenger,12/12/2021 13.53
ADVANCE,DEPARTURE,Port,SEMARANG,1639290960,,,Not in Transit,Cargo,12/12/2021 13.36
MARINER,DEPARTURE,Port,SEMARANG,1639289220,,,Not in Transit,Tanker,12/12/2021 13.07
DHARMA RUCITRA 9,DEPARTURE,Port,SEMARANG,1639272960,,,Not in Transit,Cargo,12/12/2021 08.36
KIRANA IX,ARRIVAL,Port,SEMARANG,1639270560,SEMARANG ANCH,SEMARANG ANCH,Not in Transit,Ro-Ro/Passenger,12/12/2021 07.56
IBRAHIM ZAHIER,DEPARTURE,Port,SEMARANG,1639257060,,,Not in Transit,Cargo,12/12/2021 04.11
EDRICKO 3,ARRIVAL,Port,SEMARANG,1639236120,GRESIK,GRESIK,Not in Transit,Tanker,11/12/2021 22.22
ADVANCE,ARRIVAL,Port,SEMARANG,1639231740,SURABAYA,SEMARANG ANCH,Not in Transit,Cargo,11/12/2021 21.09
SOHO MERCHANT,DEPARTURE,Port,SEMARANG,1639230420,,,Not in Transit,Cargo,11/12/2021 20.47
SEROJA II,DEPARTURE,Port,SEMARANG,1639224840,,,Not in Transit,Tanker,11/12/2021 19.14
LOMBA MAS,ARRIVAL,Port,SEMARANG,1639218960,SURABAYA,SEMARANG ANCH,Not in Transit,Tanker,11/12/2021 17.36
TRANSKO DARA 3203,ARRIVAL,Port,SEMARANG,1639218840,JAKARTA,SEMARANG ANCH,Not in Transit,Tug,11/12/2021 17.34
SEASPAN LUMACO,ARRIVAL,Port,SEMARANG,1639217520,JAKARTA,JAKARTA,Not in Transit,Cargo,11/12/2021 17.12
TRANSKO DARA 3203,DEPARTURE,Port,SEMARANG,1639214100,,,Not in Transit,Tug,11/12/2021 16.15
DHARMA RUCITRA 9,ARRIVAL,Port,SEMARANG,1639200120,KUMAI,KUMAI,Not in Transit,Cargo,11/12/2021 12.22
DHARMA FERRY 2,ARRIVAL,Port,SEMARANG,1639162860,SEMARANG ANCH,SEMARANG ANCH,Not in Transit,Ro-Ro/Passenger,11/12/2021 02.01
DHARMA KARTIKA VII,DEPARTURE,Port,SEMARANG,1639162440,,,Not in Transit,Cargo,11/12/2021 01.54
MERATUS TOMINI,DEPARTURE,Port,SEMARANG,1639156860,,,Not in Transit,Cargo,11/12/2021 00.21
LAWIT,DEPARTURE,Port,SEMARANG,1639154880,,,Not in Transit,Passenger,10/12/2021 23.48
MERATUS MALINO,DEPARTURE,Port,SEMARANG,1639153800,,,Not in Transit,Cargo,10/12/2021 23.30
TIRTA VII,DEPARTURE,Port,SEMARANG,1639147860,,,Not in Transit,Tug,10/12/2021 21.51
